service_id,date,exception_type
1414731,20260408,1
1414731,20260409,1
1414731,20260410,1
1414731,20260413,1
1414731,20260414,1
1414731,20260415,1
1414731,20260416,1
1414731,20260417,1
1414731,20260504,1
1414731,20260505,1
1414732,20260408,1
1414732,20260409,1
1414732,20260410,1
1414732,20260413,1
1414732,20260414,1
1414732,20260415,1
1414732,20260416,1
1414732,20260417,1
1414732,20260504,1
1414732,20260505,1
1414733,20260408,1
1414733,20260409,1
1414733,20260410,1
1414733,20260413,1
1414733,20260414,1
1414733,20260415,1
1414733,20260416,1
1414733,20260417,1
1414733,20260504,1
1414733,20260505,1
1414734,20260408,1
1414734,20260409,1
1414734,20260410,1
1414734,20260413,1
1414734,20260414,1
1414734,20260415,1
1414734,20260416,1
1414734,20260417,1
1414734,20260504,1
1414734,20260505,1
1414735,20260408,1
1414735,20260409,1
1414735,20260410,1
1414735,20260413,1
1414735,20260414,1
1414735,20260415,1
1414735,20260416,1
1414735,20260417,1
1414735,20260504,1
1414735,20260505,1
1414736,20260408,1
1414736,20260409,1
1414736,20260410,1
1414736,20260413,1
1414736,20260414,1
1414736,20260415,1
1414736,20260416,1
1414736,20260417,1
1414736,20260504,1
1414736,20260505,1
1414737,20260408,1
1414737,20260409,1
1414737,20260410,1
1414737,20260413,1
1414737,20260414,1
1414737,20260415,1
1414737,20260416,1
1414737,20260417,1
1414737,20260504,1
1414737,20260505,1
1414738,20260408,1
1414738,20260409,1
1414738,20260410,1
1414738,20260413,1
1414738,20260414,1
1414738,20260415,1
1414738,20260416,1
1414738,20260417,1
1414738,20260504,1
1414738,20260505,1
1414739,20260408,1
1414739,20260409,1
1414739,20260410,1
1414739,20260413,1
1414739,20260414,1
1414739,20260415,1
1414739,20260416,1
1414739,20260417,1
1414739,20260504,1
1414739,20260505,1
1414740,20260408,1
1414740,20260409,1
1414740,20260410,1
1414740,20260413,1
1414740,20260414,1
1414740,20260415,1
1414740,20260416,1
1414740,20260417,1
1414740,20260504,1
1414740,20260505,1
1414741,20260408,1
1414741,20260409,1
1414741,20260410,1
1414741,20260413,1
1414741,20260414,1
1414741,20260415,1
1414741,20260416,1
1414741,20260417,1
1414741,20260504,1
1414741,20260505,1
1414742,20260408,1
1414742,20260409,1
1414742,20260410,1
1414742,20260413,1
1414742,20260414,1
1414742,20260415,1
1414742,20260416,1
1414742,20260417,1
1414742,20260504,1
1414742,20260505,1
1414743,20260408,1
1414743,20260409,1
